epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,591.333,1.91048,2.01835,1.24891,0.3558,0.17221,0.17731,0.08077,2.08464,4.17677,1.35722,0.000663623,0.000663623,0.000663623
2,1179.95,1.92334,1.41608,1.22135,0.44427,0.38973,0.36234,0.14331,2.04093,1.83248,1.32558,0.00128639,0.00128639,0.00128639
3,1766.16,1.91387,1.24776,1.23282,0.5222,0.4408,0.42216,0.19412,1.95321,1.20398,1.21274,0.00186516,0.00186516,0.00186516
4,2351.79,1.81121,1.11598,1.16587,0.62846,0.48291,0.53385,0.27399,1.83049,1.10799,1.13324,0.001802,0.001802,0.001802
5,2937.96,1.81088,1.05821,1.14907,0.75179,0.59063,0.6541,0.33653,1.78546,0.90431,1.10259,0.001736,0.001736,0.001736
6,3524.35,1.75305,1.01416,1.12809,0.63478,0.38858,0.45681,0.24543,1.92759,1.19052,1.2356,0.00167,0.00167,0.00167
7,4110.24,1.66638,0.94868,1.08543,0.7145,0.56706,0.6109,0.34476,1.70931,0.94214,1.12058,0.001604,0.001604,0.001604
8,4696.22,1.65251,0.91306,1.07007,0.7205,0.62236,0.67419,0.3669,1.68597,0.84597,1.09806,0.001538,0.001538,0.001538
9,5282.12,1.61384,0.89077,1.05591,0.76632,0.60876,0.69378,0.38171,1.73971,0.8585,1.10984,0.001472,0.001472,0.001472
10,5868.59,1.6002,0.86181,1.05116,0.79926,0.55332,0.63019,0.35977,1.6608,1.09418,1.07617,0.001406,0.001406,0.001406
11,6454.53,1.56631,0.82659,1.02392,0.79857,0.63746,0.72268,0.40254,1.50065,0.71495,0.99843,0.00134,0.00134,0.00134
12,7040.7,1.55373,0.82584,1.02112,0.71583,0.55891,0.61229,0.34695,1.66053,0.91977,1.05849,0.001274,0.001274,0.001274
13,7626.96,1.51108,0.7767,1.00135,0.8555,0.71546,0.79071,0.47432,1.45003,0.61548,0.95176,0.001208,0.001208,0.001208
14,8214.09,1.48513,0.77192,0.99167,0.81473,0.6571,0.74177,0.43671,1.46959,0.722,0.95092,0.001142,0.001142,0.001142
15,8799.8,1.48415,0.76875,0.98836,0.84514,0.65129,0.73736,0.42708,1.57168,0.72259,0.989,0.001076,0.001076,0.001076
16,9385.41,1.45598,0.73746,0.97862,0.85343,0.66845,0.75977,0.46229,1.45526,0.65551,0.94762,0.00101,0.00101,0.00101
17,9970.57,1.46752,0.72936,0.9759,0.84112,0.67174,0.77482,0.47103,1.40099,0.6192,0.92109,0.000944,0.000944,0.000944
18,10555.7,1.40469,0.69955,0.9576,0.83414,0.7217,0.79909,0.47633,1.41794,0.61668,0.93721,0.000878,0.000878,0.000878
19,11140.8,1.40238,0.68402,0.95666,0.85135,0.74399,0.80275,0.50425,1.31919,0.58297,0.90184,0.000812,0.000812,0.000812
20,11726.8,1.37505,0.66441,0.94097,0.91567,0.70526,0.80691,0.49605,1.40864,0.56449,0.91998,0.000746,0.000746,0.000746
21,12339,1.35212,0.59561,0.9314,0.87351,0.74064,0.837,0.53984,1.29667,0.53143,0.88661,0.00068,0.00068,0.00068
22,12923.1,1.29675,0.57354,0.90989,0.87384,0.74773,0.83657,0.54345,1.2672,0.51531,0.86665,0.000614,0.000614,0.000614
23,13507.7,1.28277,0.55729,0.90446,0.87288,0.72607,0.82951,0.54313,1.26426,0.51018,0.87663,0.000548,0.000548,0.000548
24,14092.3,1.26513,0.53794,0.89748,0.85892,0.75412,0.81741,0.53389,1.29001,0.52484,0.88363,0.000482,0.000482,0.000482
25,14677.2,1.23031,0.5267,0.87501,0.86075,0.77795,0.84502,0.55202,1.24716,0.49719,0.85808,0.000416,0.000416,0.000416
26,15262.1,1.20965,0.51535,0.87086,0.89229,0.75076,0.84687,0.56756,1.19644,0.48749,0.83807,0.00035,0.00035,0.00035
27,15846.9,1.16881,0.49027,0.85241,0.90283,0.77192,0.8607,0.57396,1.21128,0.45309,0.83669,0.000284,0.000284,0.000284
28,16431.7,1.15462,0.48014,0.84608,0.90949,0.7568,0.86059,0.57529,1.19549,0.45311,0.83523,0.000218,0.000218,0.000218
29,17016.7,1.13651,0.47231,0.83655,0.92295,0.75076,0.86331,0.58174,1.18938,0.44729,0.82669,0.000152,0.000152,0.000152
30,17601,1.12196,0.45897,0.8331,0.89199,0.77341,0.86321,0.58678,1.18721,0.44379,0.83266,8.6e-05,8.6e-05,8.6e-05
